src,teamSrc,team,name
https://cdn.nba.com/headshots/nba/latest/260x190/1630554.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,LA Clippers,Jason Preston
https://cdn.nba.com/headshots/nba/latest/260x190/1630563.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,San Antonio Spurs,Joshua Primo
https://cdn.nba.com/headshots/nba/latest/260x190/1627752.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,Minnesota Timberwolves,Taurean Prince
https://cdn.nba.com/headshots/nba/latest/260x190/1630202.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Boston Celtics,Payton Pritchard
https://cdn.nba.com/headshots/nba/latest/260x190/1629674.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,Sacramento Kings,Neemias Queta
https://cdn.nba.com/headshots/nba/latest/260x190/1630193.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Immanuel Quickley
https://cdn.nba.com/headshots/nba/latest/260x190/1630186.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,Sacramento Kings,Jahmi'us Ramsey
https://cdn.nba.com/headshots/nba/latest/260x190/203944.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Julius Randle
https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,Los Angeles Lakers,Austin Reaves
https://cdn.nba.com/headshots/nba/latest/260x190/1629629.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,Atlanta Hawks,Cam Reddish
https://cdn.nba.com/headshots/nba/latest/260x190/1630194.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,Philadelphia 76ers,Paul Reed
https://cdn.nba.com/headshots/nba/latest/260x190/1629675.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,Minnesota Timberwolves,Naz Reid
https://cdn.nba.com/headshots/nba/latest/260x190/1630208.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,Charlotte Hornets,Nick Richards
https://cdn.nba.com/headshots/nba/latest/260x190/1626196.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Boston Celtics,Josh Richardson
https://cdn.nba.com/headshots/nba/latest/260x190/1630203.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,Philadelphia 76ers,Grant Riller
https://cdn.nba.com/headshots/nba/latest/260x190/203085.png,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,Denver Nuggets,Austin Rivers
https://cdn.nba.com/headshots/nba/latest/260x190/1629130.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Miami Heat,Duncan Robinson
