reb,ast,stl,blk,tov,pts,label,name
-0.020023275479779456,-0.01035442625422715,0.016472094706238786,-0.057036234981800056,-0.01350429575972952,-0.03872422873357435,0.0,Steven Adams
-0.07074622951301845,0.01669675274418797,0.006290964729868906,-0.044181000247295,-0.03356364125602258,0.04785699406002876,0.0,Bam Adebayo
-0.11669959095702297,-0.014799626607456338,-0.029137809247034692,-0.11343536902809023,-0.030706085578804512,-0.1089976715220033,0.0,LaMarcus Aldridge
0.013254244956781685,0.0067861703107644665,0.03997828169501958,0.0068869508698347,0.024794359411096704,0.032872425670641504,0.0,Nickeil Alexander-Walker
0.011895027763334662,0.011989587403902324,0.028945573895953813,0.0007422313291835439,0.004888739483638852,0.018327076380171826,0.0,Grayson Allen
0.022765954510271278,0.00193260185215884,-0.0060755579838591344,0.01972868099627357,0.032950454950632105,0.02057470388209065,0.0,Jarrett Allen
-0.0013536249269468477,0.0023393648902120296,-0.02912305511828129,-0.003102102457756146,0.01584621057341401,0.00047436407267400095,0.0,Al-Farouq Aminu
0.03488557241383328,0.03225653264309616,0.05552778542155705,0.019863375371148507,0.01582279049783123,0.04117787506967253,0.004056795131845843,Kyle Anderson
-0.1940943584357958,0.014516938162203064,0.03438597053364717,0.0205165314272842,-0.05775426986585225,-0.04225932175164932,0.0,Giannis Antetokounmpo
0.002208475742880778,-0.0014758050507394775,0.0,0.0,0.006556916116915836,-0.0009064002742478561,0.0,Kostas Antetokounmpo
0.006462697437061646,0.00047332563304966745,0.002107908846883492,0.0009908545685342405,0.005694163996269018,0.0004815488090263144,0.0,Thanasis Antetokounmpo
-0.11361876790563818,0.000676893860028396,-0.02520491916040908,0.005209899928866776,-0.08903556836238824,-0.03396319167809,0.0,Carmelo Anthony
0.006881536325381492,0.01075565838623073,0.03345175997408247,0.007881789646148748,0.04217577920596822,0.0600345343551725,0.0,OG Anunoby
-0.003914398518705895,-0.007006524465298652,-0.020343895042004713,-0.0003514008749675535,-0.016103684273334168,-0.006842144927358004,0.0,Ryan Arcidiacono
0.004061582658498421,0.0022112119997507182,-0.05854755303740407,0.011783250699517194,-0.023161623414061017,0.012219324858751055,0.0,Trevor Ariza
-0.0058049808692526425,-0.06605011155063943,-0.010514417868188344,0.0,-0.03416952477824908,-0.03202902579848343,0.0,D.J. Augustin
-0.05938608916296341,-0.009646144779432915,-0.010312734660998043,-0.07064802037795624,-0.07926658499764266,-0.07266386580584817,0.0,Deandre Ayton
0.007743942994979716,-0.0006149187711414466,0.0034818182473142414,0.00012233614116957932,-0.018068835761450876,0.03223286240805438,0.0,Dwayne Bacon
-0.002726785276317345,0.0019648292095643927,0.0020739206032352434,-0.052704618695284935,-0.0010658259478611278,-0.0014009656482875282,0.0,Marvin Bagley
-0.043552584324159115,-0.09287623597609818,0.022007021141534227,-0.0031323962226919052,-0.1557616757317476,0.03517240551181425,0.0020283975659229213,Lonzo Ball
0.023932606058853584,0.0006257131648075981,-0.004138519474079387,-0.022997258003803363,0.004380263518021788,0.015158468272717891,0.0,Mohamed Bamba
0.04647908166201612,0.030729372857418853,0.01441706104177649,0.0005032407592127926,0.028642020633638198,0.024430197873058283,0.0,Harrison Barnes
0.021121718341311147,0.013010551754712187,-0.04046416547843683,-0.0010284662072049667,-0.03861980381894116,0.049764625351705394,0.004056795131845843,RJ Barrett
-0.07843392503586664,-0.017114682043849343,-0.02797952255336108,-0.005863653489041916,0.018377631379159383,-0.03857777407463188,0.0,Will Barton
-0.019968491632147478,-0.0021268058324189773,-0.004711185681195118,-0.027137569866640263,-0.0036344992809738182,-0.02763076160694174,0.0,Keita Bates-Diop
0.004290550505781699,-0.02626712720905712,0.03327152780716501,0.009008053042299694,-0.012844705079779162,0.017315511797240904,0.0,Nicolas Batum
-0.015325711890153824,-0.012508991613406684,0.003295703623319815,-0.008175046337881981,-0.02360428785991835,-0.06597973307352763,0.0,Aron Baynes
-0.021618052544213433,0.003698075219095197,-0.01063960500520458,-0.007393842048672595,-0.009407135327134967,-0.015160361019782355,0.0,Kent Bazemore
0.07052047052340991,0.00839079055454028,0.00948507544821246,-0.019208819408103147,0.06713596231489168,0.04901825539649522,0.0,Darius Bazley
0.011041868909292428,-0.11259912185082756,-0.019943892127919072,-0.00195260202612011,-0.06001235639209758,0.024921092211069876,0.0,Bradley Beal
0.02507076264810774,0.015315968767027689,0.010173879429303541,0.0008355437727588271,0.037284679843846216,0.10118008677392813,0.0,Malik Beasley
0.018611857107809177,0.003755318440645043,0.006869543470973901,0.022125240275734852,-0.002558249822667076,-0.0024461413890118616,0.0,Jordan Bell
-0.013117969788676239,0.0044685440684672055,-0.05137432434371825,-0.005160567242097652,-0.000273787179189142,-0.0002849266041397574,0.0,DeAndre' Bembry
-0.039820945440601975,-0.015916766840279886,-0.012189668028105618,-0.030745508898747654,-0.03449788025626491,-0.06588152121772455,0.0,Davis Bertans
-0.05757832247780276,-0.060932337261605234,-0.04876675053028951,0.017162566526318642,-0.029847366687634744,-0.003664605456096224,0.0,Patrick Beverley
0.030183989702074684,0.0033054752040136207,0.020914839153274405,0.016810477070501824,0.0004320593071540287,0.013236343833530702,0.0,Khem Birch
0.014851923634393705,0.0018682902417025994,0.0004594171932239159,0.05833088491430996,-0.004485955985338509,0.006695721929237056,0.0,Goga Bitadze
-0.017767131006123465,0.0029642432105090395,0.0021768381733043313,0.023883895357270514,0.009469639202478045,-0.019202524076189647,0.0,Bismack Biyombo
