id,name,reb,ast,stl,blk,tov,pts,src,teamSrc,team,newsUrl,newsTitle,newsDate,newsIntro
ef5d1799-27b7-474e-bba6-f918754fb195,Torrey Craig,3.85,0.95,0.5,0.35,0.65,6.05,https://cdn.nba.com/headshots/nba/latest/260x190/1628470.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,Indiana Pacers,,,,
b8d2297e-3626-44a2-9db6-dc24d9669761,Jae Crowder,4.888888889,1.388888889,1.166666667,0.555555556,0.833333333,8.722222222,https://cdn.nba.com/headshots/nba/latest/260x190/203109.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,Phoenix Suns,,,,
52d6dc53-7521-4faa-b17e-0e1df12ea8ab,Jarrett Culver,1,0.75,0.25,0,0.25,4.25,https://cdn.nba.com/headshots/nba/latest/260x190/1629633.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,Memphis Grizzlies,,,,
11686547-0528-4031-a19b-3e057b99a35d,Cade Cunningham,6.230769231,4.923076923,1.230769231,0.461538462,3.307692308,13.07692308,https://cdn.nba.com/headshots/nba/latest/260x190/1630595.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,Detroit Pistons,,,,
c18054bb-1a7e-42af-adac-1f0651330e8d,Seth Curry,3.058823529,2.529411765,0.823529412,0.117647059,1.764705882,15.88235294,https://cdn.nba.com/headshots/nba/latest/260x190/203552.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,Philadelphia 76ers,,,,
cd180c9d-00f2-4203-840f-564056230fff,Stephen Curry,5.764705882,6.823529412,1.647058824,0.588235294,3.294117647,28.17647059,https://cdn.nba.com/headshots/nba/latest/260x190/201939.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,Golden State Warriors,,,,
f2b8797b-7810-456f-9f7b-b0d935d27d74,Anthony Davis,10.26315789,3.052631579,1.157894737,2.157894737,2.105263158,24.31578947,https://cdn.nba.com/headshots/nba/latest/260x190/203076.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,Los Angeles Lakers,,,,
ffcaa3be-ee2b-4552-8f0f-b7f66d3fbfd6,Ed Davis,4.333333333,0.166666667,0.333333333,0.5,0.333333333,2.166666667,https://cdn.nba.com/headshots/nba/latest/260x190/202334.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,Cleveland Cavaliers,,,,
db58f5b9-5e9c-4666-bd4b-fc1a578f3116,Terence Davis,1.363636364,0.636363636,0.454545455,0.090909091,0.636363636,4.454545455,https://cdn.nba.com/headshots/nba/latest/260x190/1629056.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,Sacramento Kings,,,,
4b2b8000-1b49-4ed9-9b54-72f4a45b5a4d,DeMar DeRozan,5.157894737,4.263157895,1,0.421052632,2.157894737,25.84210526,https://cdn.nba.com/headshots/nba/latest/260x190/201942.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,Chicago Bulls,,,,
e4d80b2b-6fe8-4b97-8a55-d79fd1eb9851,Gabriel Deck,0.6,0.2,0.2,0,0.2,1.8,https://cdn.nba.com/headshots/nba/latest/260x190/1630466.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Oklahoma City Thunder,,,,
f8f21b24-4c50-4cc9-bcab-b0a5c15ad9ab,Dewayne Dedmon,4.894736842,0.421052632,0.315789474,0.315789474,0.736842105,5.315789474,https://cdn.nba.com/headshots/nba/latest/260x190/203473.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Miami Heat,,,,
a7ca7352-4d2c-43d9-ad1f-5f728f03e580,Sam Dekker,0,0,0,0,0,0,https://cdn.nba.com/headshots/nba/latest/260x190/1626155.png,,,,,,
8fb88c16-b5b2-4633-91a6-2bb21f0a7825,Hamidou Diallo,2.666666667,0.666666667,0.583333333,0.5,0.666666667,6.5,https://cdn.nba.com/headshots/nba/latest/260x190/1628977.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,Detroit Pistons,,,,
b2bfed40-423c-4d2f-95df-eb19caffe17a,Gorgui Dieng,3.555555556,0.666666667,0.277777778,0.277777778,0.5,2,https://cdn.nba.com/headshots/nba/latest/260x190/203476.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,Atlanta Hawks,,,,
7a562e62-5802-4840-9c9c-cafa0c63a7f5,Spencer Dinwiddie,5.125,5.625,0.3125,0.1875,1.6875,14.9375,https://cdn.nba.com/headshots/nba/latest/260x190/203915.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,Washington Wizards,,,,
d777c856-03f1-4f79-8974-b5f5109c2deb,Luka Doncic,8.357142857,8,1.285714286,0.714285714,4.285714286,25,https://cdn.nba.com/headshots/nba/latest/260x190/1629029.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,Dallas Mavericks,,,,
d599c451-3377-4f0f-9960-cca924ec5cb9,Luguentz Dort,4.411764706,1.882352941,0.764705882,0.235294118,1.764705882,17.11764706,https://cdn.nba.com/headshots/nba/latest/260x190/1629652.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Oklahoma City Thunder,,,,
a20f0130-f322-4adf-a62a-5c4341d85200,Ayo Dosunmu,2.166666667,0.833333333,0.444444444,0.166666667,0.777777778,5.944444444,https://cdn.nba.com/headshots/nba/latest/260x190/1630245.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,Chicago Bulls,,,,
54f1d3ad-e6df-4fba-ad6c-c6f55600c869,Devon Dotson,3,0,0,0,0,2,https://cdn.nba.com/headshots/nba/latest/260x190/1629653.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,Chicago Bulls,,,,
4831c538-8b1b-4959-97a1-6d2e1b01ed78,Sekou Doumbouya,3,0,1.5,1,1,7,https://cdn.nba.com/headshots/nba/latest/260x190/1629635.png,,,,,,
66ffc94f-9368-4ed8-8da5-dc07c2862a71,Jeff Dowtin,1,0,0,0,0,0,https://cdn.nba.com/headshots/nba/latest/260x190/1630288.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,Golden State Warriors,,,,
4aa2533d-1dfc-4a5d-b1d7-23992b4ce063,PJ Dozier,3.5,1.611111111,0.611111111,0.333333333,0.722222222,5.388888889,https://cdn.nba.com/headshots/nba/latest/260x190/1628408.png,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,Denver Nuggets,,,,
